key,tau,p,regime,composite-zi,composite,global-slv,const-lam,bucket,garch,pit
KXNHLHART-26-KKUC,219.95833333333334,0.01,3,-3.5888267967431773,-3.5888267967431773,-3.991187413334309,-1.1161633418546653,-2.1333523528159897,-2.446103461760702,0.9572112865791673
KXNHLHART-26-KKUC,218.95833333333334,0.030000000000000002,3,-0.3113743401821423,-0.3113743401821423,-0.7074207919315327,-0.9847129404250045,-1.7654397156545079,-2.2961685324332644,0.16914371914931614
KXNHLHART-26-KKUC,217.95833333333334,0.030000000000000002,3,-2.3512482149803744,-2.3512482149803744,-2.385107906081058,-1.0693333540363108,-1.857416631247666,-2.287349116149774,0.04590285975877482
KXNHLHART-26-KKUC,216.95833333333334,0.02,3,-2.3512482149803744,-2.3512482149803744,-2.27527663730039,-1.0831596779667427,-1.8574166312476665,-2.2521870662565533,0.8744889200751674
KXNHLHART-26-KKUC,215.95833333333334,0.030000000000000002,3,-3.69041834766382,-3.69041834766382,-3.6653859021180035,-3.0262418492391574,-2.13335235281599,-2.339574295163452,0.01312525880516667
KXNHLHART-26-KKUC,214.95833333333334,0.015,3,-0.3113743401821423,-0.3113743401821423,-0.29082756747614824,-0.8873551220273627,-1.7654397156545079,-2.150006318645918,0.3586054790568482
KXNHLHART-26-KKUC,213.95833333333334,0.015,3,-0.3113743401821423,-0.3113743401821423,-0.09123317081886836,-0.6108321300740827,-1.7654397156545079,-2.1118611462947006,0.3885297634911481
KXNHLHART-26-KKUC,212.95833333333334,0.015,3,-0.3113743401821423,-0.3113743401821423,-0.03203731792432292,-0.501915501280767,-1.7654397156545079,-2.0753900755542833,0.721301994671099
KXNHLHART-26-KKUC,211.95833333333334,0.015,3,-0.3113743401821423,-0.3113743401821423,-0.01478087667828784,-0.4570465105877958,-1.7654397156545079,-2.0406377686802855,0.13862631516299584
KXNHLHART-26-KKUC,210.95833333333334,0.01,3,-0.3113743401821423,-0.3113743401821423,-0.08730464602353717,-0.4833932089964364,-1.7654397156545079,-2.0092140023612046,0.19871238253676762
KXNHLHART-26-KKUC,209.95833333333334,0.01,3,-0.3113743401821423,-0.3113743401821423,-0.02989667993931198,-0.32585297305308997,-1.7654397156545079,-1.9779014772914716,0.7146483983397419
KXNHLHART-26-KKUC,208.95833333333334,0.01,3,-0.3113743401821423,-0.3113743401821423,-0.011141487001061564,-0.2584938108286121,-1.7654397156545079,-1.948372873539014,0.5140786521000241
KXNHLHART-26-KKUC,207.95833333333334,0.01,3,-0.3113743401821423,-0.3113743401821423,-0.005464824486047497,-0.2274406542597051,-1.7654397156545079,-1.9206257000426008,0.4444414722981338
KXNHLHART-26-KKUC,206.95833333333334,0.01,3,-0.3113743401821423,-0.3113743401821423,-0.0036422370792570115,-0.21217640495869144,-1.7654397156545079,-1.8946448586986921,0.3187752173633033
KXNHLHART-26-KKUC,205.95833333333334,0.01,3,-0.3113743401821423,-0.3113743401821423,-0.003020565970574297,-0.20430182986844972,-1.7654397156545079,-1.8704030686851851,0.520198253642109
KXNHLHART-26-KKUC,204.95833333333334,0.01,3,-2.3512482149803744,-2.3512482149803744,-6.193980649781675,-1.9751623960059153,-1.8574166312476665,-1.9258619194920468,0.8765250531673485
KXNHLHART-26-KKUC,203.95833333333334,0.02,3,-0.3113743401821423,-0.3113743401821423,-0.31724675487307313,-1.066283847745474,-1.7654397156545079,-1.835952026548157,0.7516788619474503
KXNHLHART-26-KKUC,202.95833333333334,0.02,3,-0.3113743401821423,-0.3113743401821423,-0.11646805675116184,-0.760238550018429,-1.7654397156545079,-1.8159624590964765,0.7265407886968822
KXNHLHART-26-KKUC,201.95833333333334,0.02,3,-0.3113743401821423,-0.3113743401821423,-0.04701987012988378,-0.6602771726878047,-1.7654397156545079,-1.7975298028338067,0.3587177942251605
KXNHLHART-26-KKUC,200.95833333333334,0.02,3,-0.3113743401821423,-0.3113743401821423,-0.024236143416316133,-0.6298201796670106,-1.7654397156545079,-1.7805844800244839,0.1409260286715508
KXNHLHART-26-KKUC,199.95833333333334,0.02,3,-2.3512482149803744,-2.3512482149803744,-4.694749638681619,-1.713873082091944,-1.8574166312476665,-1.8570999300619324,0.9399716183404726
KXNHLHART-26-KKUC,198.95833333333334,0.025,3,-0.3113743401821423,-0.3113743401821423,-0.2082094234024547,-0.8654083909152169,-1.7654397156545079,-1.7534834662060592,0.3417405116372034
KXNHLHART-26-KKUC,197.95833333333334,0.025,3,-0.3113743401821423,-0.3113743401821423,-0.09670042705270387,-0.811508423409241,-1.7654397156545079,-1.7403025611548115,0.6041031864213044
KXNHLHART-26-KKUC,196.95833333333334,0.025,3,-0.3113743401821423,-0.3113743401821423,-0.04822183153962894,-0.7952640148796734,-1.7654397156545079,-1.7283082669837788,0.7515285748141272
KXNHLHART-26-KKUC,195.95833333333334,0.025,3,-2.3512482149803744,-2.3512482149803744,-4.433433811887753,-1.2687561850234945,-1.857416631247666,-1.8186659871178374,0.10377538071541108
KXNHLHART-26-KKUC,194.95833333333334,0.02,3,-3.5888267967431773,-3.5888267967431773,-4.604433511916596,-2.6276231955103193,-2.1333523528159897,-2.121124746810078,0.9745028178373851
KXNHLHART-26-KKUC,193.95833333333334,0.035,3,-0.3113743401821423,-0.3113743401821423,-0.5745877938061054,-1.3271572550765778,-1.7654397156545079,-1.7267786694735157,0.481242912994282
KXNHLHART-26-KKUC,192.95833333333334,0.035,3,-3.5888267967431773,-3.5888267967431773,-4.174045301435717,-3.2276956053035506,-2.1333523528159897,-2.1221529490503412,0.9739444516897372
KXNHLHART-26-KKUC,191.95833333333334,0.05,3,-2.499489368183519,-2.499489368183519,-3.1134503241029376,-1.1735534991345724,-2.2411166417091217,-2.1252722315217065,0.09592697039075265
KXNHLHART-26-KKUC,190.95833333333334,0.03,3,-2.3512482149803744,-2.3512482149803744,-1.959790122758627,-1.2664601102073043,-1.8574166312476665,-1.8557221967594923,0.8805497810190482
KXNHLHART-26-KKUC,189.95833333333334,0.035,3,-0.3113743401821423,-0.3113743401821423,-0.39129082387643543,-1.0538090674602079,-1.7654397156545079,-1.7519497197109235,0.4752603982905341
KXNHLHART-26-KKUC,188.95833333333334,0.04,3,-0.3113743401821423,-0.3113743401821423,-0.3752684715901346,-1.1883762604508825,-1.7654397156545079,-1.7415998422483128,0.36863736361062033
KXNHLHART-26-KKUC,187.95833333333334,0.045,3,-0.3113743401821423,-0.3113743401821423,-0.38572794767209984,-1.3141146246458684,-1.7654397156545079,-1.7322329888188277,0.6848701915922111
KXNHLHART-26-KKUC,186.95833333333334,0.04,3,-0.3113743401821423,-0.3113743401821423,-0.3379927762799921,-1.1597243971603604,-1.7654397156545079,-1.7237717910221626,0.7321579812289792
KXNHLHART-26-KKUC,185.95833333333331,0.035,3,-0.3113743401821423,-0.3113743401821423,-0.30795145493386394,-1.0911813723143025,-1.7654397156545079,-1.7161419501400799,0.2263779822844822
KXNHLHART-26-KKUC,184.95833333333331,0.035,3,-3.5888267967431773,-3.5888267967431773,-4.7507530549599775,-2.257921390720374,-2.1333523528159897,-2.1204191232628786,0.955214518815653
