pi,ti,p_bucket,tau_band,n,n_mkts,still_frac,excess_still,kurt_z,jump_share,ratio_fit,budget_share,regime
3,1,"[0.30,0.45)","[3,7)d",15316,6256,0.26371115173674586,0.2416827688965389,13.89356788195741,0.17052915151330572,0.29840100473617776,0.013140844165505844,1
3,2,"[0.30,0.45)","[7,14)d",13536,4862,0.23618498817966904,0.20372759372710036,6.572728853718372,0.24682928447169605,0.609724732856595,0.016046917903354465,1
3,3,"[0.30,0.45)","[14,30)d",9198,2711,0.21254620569689062,0.16660851150047948,8.022670217831822,0.16893133569350116,0.9498997695220961,0.012083277591529044,1
3,4,"[0.30,0.45)","[30,90)d",16111,1358,0.2585810936627149,0.17840966957920867,13.238707378576255,0.17808548749285014,0.9457586127389616,0.011851948086909104,1
3,5,"[0.30,0.45)","[90,inf)d",26928,1089,0.3244949494949495,0.18297451988064875,20.843300283526474,0.2181909080677179,1.0359022142923697,0.012571285586352777,1
4,0,"[0.45,0.55)","[1,3)d",6363,4123,0.10042432814710042,0.0880748443670391,-1.0449683965524055,0.015709665424086472,3.30594939369643,0.1091082166757608,1
4,1,"[0.45,0.55)","[3,7)d",13240,6020,0.24599697885196375,0.22529105041577044,8.208962184675746,0.3571025626104013,0.5488938597481872,0.023061680428608074,1
4,2,"[0.45,0.55)","[7,14)d",12247,4963,0.327672082959092,0.2973749430289654,6.307993479254783,0.4115679499873153,0.8824394242283413,0.023888709792909257,1
4,3,"[0.45,0.55)","[14,30)d",5955,1942,0.28832913518052056,0.2445995500165496,6.601491495870057,0.46768017167107245,1.1354744313016665,0.010268507491741224,1
4,4,"[0.45,0.55)","[30,90)d",11210,1339,0.3470115967885816,0.27376772682615547,12.250745166521757,0.2684685462494517,1.3158955148358322,0.01366476995356844,1
4,5,"[0.45,0.55)","[90,inf)d",15399,1088,0.32528086239366194,0.19196284296040583,15.308689095256227,0.5646541235749156,2.5469312510010442,0.019405850641522192,1
5,0,"[0.55,0.70)","[1,3)d",6482,4048,0.10721999382906511,0.09440727062156101,-0.7845597682268042,0.01044530578994074,3.4818637191620394,0.11137163098049038,1
5,1,"[0.55,0.70)","[3,7)d",11229,4526,0.2673434856175973,0.24561384613621143,20.722562525879912,0.20738016129894254,0.24546209622692164,0.008031137502859411,1
5,2,"[0.55,0.70)","[7,14)d",8482,3085,0.2502947418061778,0.21800641424000863,9.655912471585268,0.3400992379896767,0.5474797877594653,0.009094607893508286,1
5,3,"[0.55,0.70)","[14,30)d",6533,1444,0.2412367977958059,0.19391950155214188,12.113708578508028,0.23908520954550905,0.7246295648797266,0.006276019451094751,1
5,4,"[0.55,0.70)","[30,90)d",12200,1062,0.2627049180327869,0.1847722884312596,15.068507359572845,0.16388484561407535,0.8773976782587322,0.008558458630284186,1
5,5,"[0.55,0.70)","[90,inf)d",16230,663,0.29993838570548365,0.161497753091878,31.92140314406941,0.22448434041566578,1.2288367170041778,0.008946907976798243,3
6,0,"[0.70,0.85)","[1,3)d",3757,2336,0.1224381155177003,0.1064561652530861,1.1497932569441618,0.0,3.87564481333987,0.05449610544294709,1
6,1,"[0.70,0.85)","[3,7)d",6690,2759,0.2568011958146487,0.22942304469201705,18.23269199380352,0.351462007590443,0.6175909571045691,0.009058365229201342,1
6,2,"[0.70,0.85)","[7,14)d",5601,2059,0.2110337439742903,0.17025631546183884,12.464182046491135,0.4202473470727629,1.1760380056660662,0.009659994936341353,1
6,3,"[0.70,0.85)","[14,30)d",5628,1105,0.20788912579957355,0.14786272479402596,17.99503235298786,0.32325381247852514,1.256107102561131,0.007000460560277062,1
6,4,"[0.70,0.85)","[30,90)d",11015,860,0.2519291874716296,0.1545838168508057,28.376856262351257,0.23831357549219867,1.2450111084783526,0.008367164955106254,1
6,5,"[0.70,0.85)","[90,inf)d",13529,461,0.3296622071106512,0.15109625799997567,49.700979278506125,0.31566076731450177,1.6453592664903876,0.007268004574853082,3
7,0,"[0.85,0.95)","[1,3)d",1648,1119,0.12682038834951456,0.09874583475338637,10.177428846360094,0.0,4.40902144700334,0.013887399078750036,1
7,1,"[0.85,0.95)","[3,7)d",2763,1193,0.2848353239232718,0.2362228153952808,21.601473765048407,0.35049155830155787,1.4026567269401582,0.004293821968653675,1
7,2,"[0.85,0.95)","[7,14)d",2782,946,0.20668583752695902,0.13391716976272489,27.23892916092064,0.33199496717428745,1.7532654630052111,0.003572014901075999,1
7,3,"[0.85,0.95)","[14,30)d",3256,601,0.21928746928746928,0.1121463003379531,34.152015297573904,0.28459371645584186,2.2717042968457277,0.00365737896140422,3
7,4,"[0.85,0.95)","[30,90)d",6452,524,0.2782083075015499,0.1078009207858979,111.27770595067983,0.3957657012716599,1.8423144372456715,0.0036535539428064973,3
7,5,"[0.85,0.95)","[90,inf)d",5512,221,0.37064586357039186,0.08171591538907264,132.5477817803376,0.353733327980406,3.1808549690139487,0.002998093699078015,3
8,0,"[0.95,1.00)","[1,3)d",2045,1445,0.5447432762836186,0.4164908843746413,23.25048160451182,0.09747967789759349,8.352530430408954,0.006455856223528127,2
8,1,"[0.95,1.00)","[3,7)d",2096,774,0.48711832061068705,0.29892883422483163,182.63204963459293,0.47668378879776385,2.2933978799097416,0.0012950478042609913,3
8,2,"[0.95,1.00)","[7,14)d",2091,556,0.48589191774270685,0.2217539551736648,217.96381024533795,0.385429582063084,3.9203587766575443,0.00151826114934858,3
8,3,"[0.95,1.00)","[14,30)d",3135,371,0.511323763955343,0.1455443685042318,339.19224753059535,0.7095500592820738,2.367920147851552,0.0009472297756854842,3
8,4,"[0.95,1.00)","[30,90)d",4160,301,0.4947115384615385,0.048704473772152646,250.85402140907067,0.665934582722802,7.552741380982657,0.0031494530306309886,3
8,5,"[0.95,1.00)","[90,inf)d",1033,113,0.46466602129719264,-0.13114798881440143,60.251604487339534,0.6634113772748096,39.66522645533093,0.0026291575782825113,3
