key,band,p0,tau0,budget,evd,evj,full_vd,full_vj,zi_vd,zi_vj,clam_vd,clam_vj
40499049241972898654020643703335035866918396548200756443925863772754567017486,14.0,0.0505,14.0,0.047949750000000006,0.0008765000000000008,0.34627675,0.0003380765683915143,0.07365681684449131,0.0003628330427822833,0.07822290548497941,0.0003750440761449804,0.07043358067757177
40499049241972898654020643703335035866918396548200756443925863772754567017486,7.0,0.488,7.0,0.249856,0.00038300000000000074,0.1532105,0.0003812730926627966,0.24775773706930324,0.0002500877796264173,0.25484046346158723,0.00030194854606550116,0.2522667741802776
40499049241972898654020643703335035866918396548200756443925863772754567017486,3.0,0.383,3.0,0.236311,0.0002902500000000005,0.14100025,0.00016788109416831024,0.23742872843062096,0.0001045534068202951,0.2408388934339712,0.00014014269180718627,0.23607429699758384
57169301693788544330214903356744420244117904575284213508096721868789707973189,30.0,0.372,30.0,0.233616,0.001045499999999999,0.1838635000000001,0.00154194702262878,0.2411389736441214,0.0011940439460519947,0.2513582543611644,0.001572694662071955,0.22995839709500984
57169301693788544330214903356744420244117904575284213508096721868789707973189,14.0,0.8805,14.0,0.10521975000000004,0.0006007500000000013,0.010783500000000005,0.0005969176496343802,0.13434616418420192,0.0004991489241696273,0.13226249962992168,0.0008663868490334256,0.14090663008694715
16237339805175690472470790887332058682885509818994546623684888151958546717710,30.0,0.51,24.0,0.2499,0.0005750000000000011,0.245025,0.0013240557206555636,0.25584550252593474,0.0009375994146602892,0.254207578970936,0.001229100100890032,0.24742352859663352
16237339805175690472470790887332058682885509818994546623684888151958546717710,14.0,0.51,14.0,0.2499,0.0004750000000000008,0.245025,0.0007820012966111154,0.2503811534366794,0.00051468019080924,0.25780926584859926,0.000672453063770626,0.25117730076981487
16237339805175690472470790887332058682885509818994546623684888151958546717710,7.0,0.495,7.0,0.249975,0.0003500000000000006,0.245025,0.0003687923623431656,0.25056070583334017,0.0002520759514907024,0.25183480303735206,0.00033647404172446174,0.24856243010719936
16237339805175690472470790887332058682885509818994546623684888151958546717710,3.0,0.485,3.0,0.249775,0.00020000000000000036,0.245025,0.00018285829277357203,0.24924672101153267,0.00012589648453843226,0.2505203802391391,0.0001369131859786314,0.2501572744471933
104259436423064082971150541232006260758664018969024622611484550356541952860834,30.0,0.305,30.0,0.21197500000000002,0.00030000000000000057,0.265625,0.0013684366553379965,0.22509218874488987,0.0011079613543058722,0.22005087690943853,0.0015053197603595398,0.2094385732377202
104259436423064082971150541232006260758664018969024622611484550356541952860834,14.0,0.585,14.0,0.24277500000000002,0.00010000000000000018,0.18062500000000004,0.0007799067644242682,0.24724880021617143,0.0005626714339689443,0.24590046793695847,0.0006992593985281452,0.24537965675919582
104259436423064082971150541232006260758664018969024622611484550356541952860834,7.0,0.575,7.0,0.244375,0.0,0.18062500000000004,0.0003483318348156382,0.2451587923237873,0.0002692735749285544,0.2406512867223391,0.0003420025194685862,0.24608037481087333
104259436423064082971150541232006260758664018969024622611484550356541952860834,3.0,0.575,3.0,0.244375,0.0,0.18062500000000004,0.00015812392979542262,0.24282903104701567,0.00010873793147410115,0.24367660887364737,0.0001377470327637364,0.24366894177510529
108868564305190361360490524671116008808546165773720209215376459867456221066859,30.0,0.065,30.0,0.060775,0.0010787499999999998,0.0020032500000000003,0.0008388834913357316,0.08859840592867528,0.0008541296592058302,0.11374967498660879,0.0008090790038426934,0.09543751628250562
108868564305190361360490524671116008808546165773720209215376459867456221066859,14.0,0.065,14.0,0.060775,0.0004037500000000001,0.00057825,0.00045146392043786995,0.09489303723150132,0.0004312496609770005,0.08660423188270322,0.0004463610536817879,0.08036442196688663
95624972018784002532162612740720496006567655469353635502553898608270175454207,7.0,0.445,6.0,0.24697499999999997,0.0010000000000000002,0.265225,0.0003120418530827736,0.24886411121057989,0.00024299993080737777,0.24676383039989147,0.0002903070910522109,0.24552682121222522
95624972018784002532162612740720496006567655469353635502553898608270175454207,3.0,0.46,3.0,0.24840000000000004,0.0003249999999999989,0.265225,0.00015139858977181994,0.24838489030917102,0.00011554728490714971,0.2506153864584265,0.00013207508125845306,0.24957806438439342
110474507112100782314899291119134194443200805577700445554821199693457132940419,30.0,0.465,30.0,0.24877499999999997,0.0007352500000000013,1.0416382499999999,0.001648059683475099,0.253792225134214,0.0011986433899974882,0.2615578532239853,0.0016215876792080464,0.2521974389018192
