key,band,budget,p0,tau0,evd,evj,mvd,mvj,cvd,cvj
PAYROLLS-24FEB-T299999,3.0,0.19240000000000002,0.26,3.0,0.00010000000000000018,0.04569999999999999,0.00010253313452599819,0.24681281646133205,4.353155794089685e-05,0.20750977572249268
KXWCGROUPQUAL-26A-CZE,30.0,0.1971,0.73,31.0,0.0014499999999999938,0.16844999999999996,0.0011778791674008542,0.4164143445042836,0.0008443878511543275,0.352860926809945
KXWCGROUPQUAL-26A-CZE,14.0,0.2211,0.67,14.0,0.0007999999999999969,0.16309999999999997,0.0005063371479231677,0.35254350366642045,0.0003333732365779062,0.2761334612066885
KXWCGROUPQUAL-26A-CZE,7.0,0.2484,0.54,7.0,0.00020000000000000036,0.1426,0.00022697318347281802,0.3161811144161367,0.00011393248347932257,0.28203568523209904
KXWCGROUPQUAL-26A-CZE,3.0,0.1971,0.27,3.0,0.00010000000000000018,0.0638,9.900292299035813e-05,0.242882545964492,5.239956755502047e-05,0.22735999280888564
KXDALSNOWM-26JAN-10.0,7.0,0.0651,0.07,7.0,0.00030000000000000003,0.0012000000000000001,0.00020714947737145734,0.14452003020889012,0.0001741288900993148,0.11968346371868611
KXNHLVEZINA-26-LTHO,14.0,0.09000000000000001,0.1,13.0,5e-05,0.0082,0.0004008926767140518,0.19492129401340122,0.00030444533490539154,0.1559213695069647
KXRANKLISTSONGTOP10-26JUN20-SOE,14.0,0.249775,0.485,10.0,0.00042499999999999857,0.4655500000000001,0.00036243056106363713,0.3189182196495286,0.0002178263710285764,0.2802516716832609
KXRANKLISTSONGTOP10-26JUN20-SOE,7.0,0.20797500000000002,0.295,7.0,0.00042499999999999857,0.42945000000000005,0.00024238740584702593,0.26743041667073475,0.00013413096651360991,0.2423262551653724
KXNFLDRAFTPICK-26-8-AREE,30.0,0.130975,0.155,30.0,0.00037500000000000006,0.00665,0.0011654384628582547,0.3064656902150667,0.0009656594390751065,0.24712467369658225
KXNATHANSHD-26MEN-JCHE,7.0,0.11310000000000009,0.8699999999999999,5.0,0.00019999999999999592,0.005700000000000011,0.00020646573654059384,0.20252066103421157,0.00013676443805930557,0.16586540440314398
KXNATHANSHD-26MEN-JCHE,3.0,0.07360000000000005,0.9199999999999999,3.0,9.999999999999796e-05,0.004099999999999999,9.570904371537854e-05,0.13895622445929667,9.884919809124881e-05,0.11530521424217109
KXTORNADO-24DEC-25,30.0,0.22749999999999998,0.65,30.0,0.0004999999999999975,0.5047499999999999,0.0010773373095762729,0.39731681917361017,0.0007600439900051447,0.33874167845772957
KXTORNADO-24DEC-25,14.0,0.16000000000000003,0.2,14.0,0.0003999999999999996,0.37334999999999985,0.0005322070425086657,0.2749312676476635,0.00043009177034502135,0.22755950455456828
KXTORNADO-24DEC-25,7.0,0.09000000000000001,0.1,7.0,0.0003999999999999996,0.3317999999999999,0.00017705444968249431,0.13670323546010205,0.00016600563999273897,0.13491557165369786
KXTORNADO-24DEC-25,3.0,0.2331,0.63,3.0,0.0,0.1296999999999999,8.315374855486991e-05,0.25966274492185526,4.752336616130535e-05,0.24135426330193588
KXTOPSONG-25FEB22-NLU,7.0,0.24997500000000003,0.49499999999999994,7.0,0.0,0.1342250000000001,0.0002507554278321415,0.29922194609706937,0.0001196053123888063,0.27250896151639814
