key,band,budget,p0,tau0,evd,evj,mvd,mvj,cvd,cvj
sim108,30.0,0.13664605837477756,0.8366807710951465,30.0,0.0007511618209913191,0.20801696255015997,0.0009557893753552929,1.075122111292959,0.001341869420381915,0.22170709071828587
sim108,14.0,0.17589418351028463,0.7722238352711154,14.0,2.8719393530704637e-06,0.17221843107424478,0.0005214237342876659,0.7683559148051375,0.0003891176683727205,0.2675861128544497
sim108,7.0,0.15694863501675277,0.8050432182220205,7.0,0.0,0.13374166995418457,0.00024458637769096664,0.5067100072010399,0.00018517527074098035,0.245696969235608
sim108,3.0,0.23105154366170183,0.63765339203339,3.0,0.0,0.07614379493066666,8.572766188702937e-05,0.3507672057258419,3.2930170949178876e-05,0.25442600215839145
sim112,30.0,0.24441663659731638,0.4252780928864659,30.0,0.0006194339253070073,0.4280076290376811,0.0009629046717383971,1.1302977874990945,0.000985497021411391,0.33449880099761975
sim112,14.0,0.19979881337258856,0.27594378690290366,14.0,0.00030317083276061455,0.3436222591828432,0.00047015237218658455,0.7144287442445618,0.0003511382503084911,0.2899665373898067
sim112,7.0,0.23052526504242876,0.3604480922467514,7.0,0.00030317083276061455,0.19464902730199649,0.00021574059313002818,0.5604870745509674,0.00012416961514338337,0.27167644660103796
sim112,3.0,0.23906921389616276,0.6045503998262907,3.0,0.0002695182746261683,0.16881237278932656,0.00010065564924733442,0.39430634752762134,4.299011034389004e-05,0.25772062566953574
sim114,30.0,0.13148343228927314,0.8442623530256058,30.0,0.000516786449043642,0.15664355151582135,0.0010051244682455875,0.9651559102388192,0.0012964884912299824,0.26292571231249234
sim114,14.0,0.19357228036941596,0.7375451949221117,14.0,3.290920415728957e-06,0.11932420633791907,0.00046898292536966854,0.7001202632448524,0.00037942325555939704,0.27396249082221497
sim114,7.0,0.1899256160398776,0.7451007628713595,7.0,3.290920415728957e-06,0.02411023111352453,0.00020146801659253171,0.623865612896468,0.00014123071746191784,0.24379497233970704
sim114,3.0,0.13102332258752933,0.8449299601549142,3.0,0.0,0.015163623443010681,8.565405228068254e-05,0.3497738125599563,5.9611242249572604e-05,0.1875465462986317
sim117,30.0,0.2496990547372181,0.5173477740007735,30.0,0.00016257506552307962,0.6969072419245124,0.0010156162534470875,1.0529923150245166,0.0009458380817931071,0.31710587677032487
sim117,14.0,0.08479489371079668,0.9064543102111273,14.0,1.3136595955587831e-05,0.5411147761928665,0.0004129956725782347,0.6327074443122102,0.0006409568885520667,0.1753270254835666
sim117,7.0,0.24772863630042208,0.5476588260407024,7.0,0.0,0.47382288085283614,0.00024284616119166205,0.5618724452121369,0.00012135672417210799,0.29896850688978316
